start_station_id,neighborhood
KA1504000101,Tri-Taylor
13304,Little Italy
TA1308000013,Lower West Side
TA1308000046,Bridgeport
TA1308000043,Bridgeport
576,Grand Crossing
15442,S Ashland Ave
TA1307000129,Park Boulevard
13157,West Loop
TA1307000161,Bridgeport
13089,Lower West Side
594,Back of the Yards
TA1305000017,Little Italy
TA1309000003,Marshall Square
KA1503000038,Bridgeport
KA1503000074,Chicago
20222,East Side
20116,Grand Crossing
13165,Little Italy
TA1307000111,River North
KA1503000049,South Shore
631,Near West Side
20234,Auburn Gresham
13073,West Town
TA1307000164,Hyde Park
15653,Humboldt Park
TA1307000044,Near West Side
13081,Near West Side
569,Greater Grand Crossing
604,Evanston
TA1306000011,Rush & Division
SL-013,Near South Side
KA1503000001,Fuller Park
KA1503000027,Bronzeville
20232,South Deering
557,Gage Park
20206,South Side
561,West Englewood
546,Back of the Yards
TA1308000007,Bronzeville
16806,Rogers Park
20235,Burnside
KA1504000164,Old Irving Park
571,Greater Grand Crossing
368.0,South Lawndale
15534,Chicago Loop
15689,Marshall Square
13036,Chicago Loop
518,Humboldt Park
545,Garfield Park
SL-010,Chicago Loop
KA1503000047,Greater Grand Crossing
KA1503000010,Back of the Yards
16933,Back of the Yards
16937,Back of the Yards
20121,Auburn Gresham
201022,Washington Heights
574,South Side
13420,Bronzeville
16950,West Englewood
KA1503000033,Woodlawn
16915,Austin
20118,Roseland
20123,Beverly
KA1504000110,South Lawndale
15446,McKinley Park
20227,South Deering
TA1307000153,Bridgeport
20238,Cottage Grove Heights
KA1503000068,Chicago
KA1503000003,Greater Grand Crossing
TA1309000055,Bridgeport
KA1503000066,McKinley Park
KA1504000141,Old Irving Park
KA1504000161,Cook County
16991,Portage Park
KA1503000032,New City
15449,Fuller Park
KA1503000065,Kenwood
18022,Chicago
TA1309000051,South Chicago
13256,West Town
TA1309000007,Chicago Loop
20218,Hegewisch
KA1504000096,Irving Park
13083,Bronzeville
KA1503000052,Hyde Park
KA1503000073,Washington Park
KA1503000029,South Shore
KA1503000024,South Shore
652,Park Manor
20223,East Side
20226,South Deering
592,Portage Park
13096,Marshall Square
20207,West Pullman
TA1305000011,River North
Hubbard Bike-checking (LBS-WH-TEST),West Town
KA1503000018,Jackson Park Highlands
KA1503000055,Chicago
649,Chicago
362.0,North Lawndale
13213,Dearborn Homes
KA1504000142,Irving Park
20230,Avalon Park
366.0,North Lawndale
KA1504000091,Back of the Yards
TA1307000066,Lower West Side
KA1504000102,Tri-Taylor
15597,Englewood
595,South Side
593,Englewood
18058,West Town
20113,Roseland
16921,Austin
584,Grand Crossing
TA1306000029,Streeterville
13089,Lower West Side
20253.0,Lake View
586,South Side
KA1503000020,South Shore
575,South Side
13081,Near West Side
KA1503000004,Oakland
15685,South Lawndale
KA1503000014,Woodlawn
20106,Chicago
364.0,North Lawndale
20245,West Englewood
356,Belmont Cragin
20221,South Deering
18025,Englewood
KA1503000054,Woodlawn
13001,Chicago Loop
559,West Englewood
535,Garfield Park
20133,Pullman
TA1306000012,River North
650,Englewood
577,Grand Crossing
16940,Back of the Yards
20211,Riverdale
20134,Pullman
528,Humboldt Park
16913,Austin
20239,Calumet Heights
20256.0,Lake View East
567,Englewood
20242,Chicago
13165,Little Italy
KA1503000023,Grand Crossing
KA1504000082,Garfield Park
KA1503000045,Grand Crossing
523,Rogers Park
